probe_name,visual_area,presentation_type,interval_start,interval_end,max_phi,max_phi_state,total_distinctions,total_integrated_information_distinctions,total_cause_information,total_effect_information,total_relations,total_integrated_information_relations,faces_1_9,faces_10_30,faces_30_plus
probe_773463015,VISam,natural_scenes,1,50,4.006610474308035,"[0, 0, 0]",7,1.9133287038271,5.154310789032072,5.6946393916842375,36,2.093281770480857,31,4,1
probe_773463015,VISam,natural_scenes,51,100,4.283284665965896,"[0, 0, 0]",7,1.9486331900504,5.065845596613511,4.681329065186111,37,2.334651475915493,21,10,6
probe_773463015,VISam,natural_scenes,101,150,4.107454670241605,"[1, 0, 0]",7,1.9041933822607,4.926643942225883,5.609120432822858,43,2.203261287980894,25,12,6
probe_773463015,VISam,natural_scenes,151,200,4.182620946617306,"[0, 0, 0]",7,1.9256309045721,5.5645490984258865,4.598672246223224,43,2.2569900420450253,27,10,6
probe_773463015,VISam,natural_move_one,1,50,4.125968388803948,"[0, 0, 0]",7,1.9318249160894003,5.190906871219787,4.685675744095989,37,2.194143472714505,21,10,6
probe_773463015,VISam,natural_move_one,51,100,4.290312238337829,"[0, 0, 0]",7,1.9904717728146,6.352885966179742,6.237751422630473,32,2.2998404655233076,21,9,2
probe_773463015,VISam,natural_move_one,101,150,3.8286718962442396,"[1, 1, 0]",7,1.8651906981739,5.375355762527751,5.515405627290017,47,1.9634811980703772,38,8,1
probe_773463015,VISam,natural_move_one,151,200,3.918138773284948,"[1, 0, 0]",7,1.8987114582794,5.408984730188524,4.129116843288639,41,2.0194273150056157,25,10,6
probe_773463015,VISam,natural_move_three,1,50,4.025186950793097,"[0, 1, 1]",7,1.9638785698307,4.114786745370281,4.429657337171505,38,2.0613083809623434,28,8,2
probe_773463015,VISam,natural_move_three,51,100,4.0101863597652585,"[0, 0, 0]",7,1.9088800826913004,4.193468211237212,4.769208942071041,47,2.101306277074057,31,10,6
probe_773463015,VISam,natural_move_three,101,150,3.9966718490382744,"[0, 1, 0]",7,1.9296992514203,5.432808950602708,5.930960516252343,43,2.066972597618001,31,10,2
probe_773463015,VISam,natural_move_three,151,200,4.247438080436269,"[0, 0, 0]",7,1.9651275682209,4.798999759791448,4.319502458577653,55,2.282310512215328,35,14,6
probe_768909188,VISrl,flashes,1,50,3.646456403241899,"[1, 1, 1]",7,1.6693053222785001,4.806010130159715,4.301092613348419,42,1.9771510809634332,37,4,1
probe_768909188,VISrl,flashes,51,100,3.482476261364245,"[1, 1, 1]",7,1.6598728823877997,3.574425783233173,3.8338525806148054,35,1.8226033789764433,19,10,6
probe_768909188,VISrl,flashes,101,150,3.331831375658391,"[0, 0, 0]",7,1.5720196074178001,3.976454730699742,4.130442163767145,47,1.759811768240556,29,15,3
probe_768909188,VISrl,flashes,151,200,3.6550969414084262,"[1, 1, 1]",7,1.7501310879179999,4.798794307976283,4.086004158158428,63,1.9049658534904228,43,14,6
probe_768909188,VISrl,static_gratings,1,50,3.4810724463801495,"[0, 1, 0]",7,1.6514747465193997,4.28373950686233,3.5894094068513094,41,1.8295976998607077,36,5,0
probe_768909188,VISrl,static_gratings,51,100,3.6350231140643325,"[0, 0, 0]",7,1.7141827614309,4.363607867230025,4.000367733620568,42,1.9208403526334632,40,2,0
probe_768909188,VISrl,static_gratings,101,150,3.5584919543132076,"[1, 1, 0]",7,1.7378682927641,4.786899151725869,5.325414789919494,36,1.8206236615490765,29,6,1
probe_768909188,VISrl,static_gratings,151,200,3.5670301004041463,"[0, 0, 0]",7,1.733470120518,4.774955963244203,4.21157296014734,41,1.8335599798861082,40,1,0
